OF_DEPARTURE_COUNTRY,OF_DEPLV2,OF_DEPLV1,OF_DEPLV0,OF_DEPARTURE_CITY,OF_DEPARTURE_ZIPCODE,OF_DEPARTURE_COORDINATE_X,OF_DEPARTURE_COORDINATE_Y,OF_ARRIVAL_COUNTRY,OF_ARRLV2,OF_ARRLV1,OF_ARRLV0,OF_ARRIVAL_CITY,OF_ARRIVAL_ZIPCODE,OF_ARRIVAL_COORDINATE_X,OF_ARRIVAL_COORDINATE_Y,OF_WEIGHT,OF_VOLUME,OF_LENGTH,OF_GOODS_KND,OF_TAIL_LIFT,OF_PALLETS_EXCHANGE,OF_NB_PALLETS
F,CE,41,,VERNOU-EN-SOLOGNE,41230,167614,4750098,F,BF,58,,VARENNES-VAUZELLES,58640,314490,4701426,500,0,10,MG,N,N,0
B,LG,47,,RAEREN,4731,609238,5069651,I,1,LOM,20,BASIGLIO,20060,916004,4536168,7000,0,30,MG,N,N,0
D,RL,47,,DUISBURG,47138,678633,5146652,D,SB,80,,M�NCHEN,80993,1153949,4818653,9600,0,50,MG,N,N,0
PL,7,7,72,GOLENI�W,72-100,1483076,5356800,D,RL,42,,SOLINGEN,42651,708674,5117215,24000,0,136,MG,N,N,0
D,BR,14,,BERLIN,14055,1325386,5250508,D,NB,97,,WIESENTHEID,97353,1034547,4979327,15000,0,136,MG,N,N,0
F,BR,35,,LOUVIGN�-DE-BAIS,35680,-133065,4804969,F,NO,27,,HEUDEBOUVILLE,27400,123981,4919421,5500,0,76,MG,N,N,0
F,RP,95,,PERSAN,95340,227676,4915280,F,AQ,33,,BORDEAUX,33200,-58107,4483661,10000,0,75,MG,N,N,0
F,AL,67,,BRUMATH,67170,771214,4873251,F,CH,51,,BAZANCOURT,51110,416870,4936226,1090,0,20,MG,N,N,0
F,CE,45,,BOUZY-LA-FOR�T,45460,238134,4785187,F,AU,87,,LIMOGES,87000,125606,4582625,3000,0,50,MG,N,N,0
D,WF,58,,WICKEDE,58739,786664,5149417,NL,ZH,33,,DORDRECHT,3311,465638,5181185,5000,0,50,MG,N,N,0
F,RA,69,,GIVORS,69700,477347,4558241,F,BF,71,,M�CON,71000,483307,4630301,11000,0,64,MG,N,N,0
F,BR,35,,LA GUERCHE-DE-BRETAGNE,35130,-123013,4794221,F,BF,21,,SEURRE,21250,514973,4699856,1500,0,30,MG,N,N,0
D,SB,87,,MARKTOBERDORF,87616,1061811,4777796,NL,ZH,27,,WADDINXVEEN,2741,465322,5204102,21000,600,130,TD,N,N,0
F,NP,60,,CREIL,60100,247546,4925953,F,NO,27,,HONGUEMARE-GUENOUVILLE,27310,81640,4937313,1500,0,80,MG,N,N,0
B,LG,48,,VERVIERS,4801,589031,5058128,NL,ZH,26,,DELFT,2611,435867,5201151,10000,0,136,MG,N,N,0
F,AQ,33,,BIGANOS,33380,-97649,4464179,I,2,VEN,31,SUSEGANA,31058,1224854,4585103,25000,0,136,MG,N,N,0
F,PL,53,,LAVAL,53000,-77307,4807273,F,PR,13,,VITROLLES,13127,525033,4344842,1300,0,20,MG,N,N,0
F,NP,60,,ALLONNE,60000,211746,4940635,F,PL,44,,MONTOIR-DE-BRETAGNE,44550,-215328,4732780,12000,0,136,TD,N,N,0
NL,NB,51,,WAALWIJK,5141,505539,5168703,NL,LB,61,,ECHT-SUSTEREN,6101,587266,5110652,19000,0,136,MG,N,N,0
F,NP,60,,PASSEL,60400,296215,4955462,F,RP,77,,BRIE-COMTE-ROBERT,77170,261137,4869281,4800,0,50,MG,N,N,0
B,AN,28,,PUURS,2870,428064,5107452,NL,ZH,27,,WADDINXVEEN,2742,464427,5204855,23534,0,136,MG,N,N,0
F,RP,77,,MEAUX,77100,288308,4895943,F,NP,62,,LILLERS,62190,248083,5056332,4500,0,80,MG,N,N,0
B,AN,20,,ANVERS,2000,440247,5121822,D,PS,66,,THOLEY,66636,703392,4948015,30000,0,120,MG,N,N,0
D,TN,99,,ARNSTADT,99310,1095154,5083835,D,HE,65,,FRANKFURT AM MAIN,65929,854691,5010315,9500,0,140,MG,N,N,0
F,NO,61,,L AIGLE,61300,62570,4876539,F,PR,84,,PERTUIS,84120,550138,4369367,1100,0,12,MG,N,N,3
F,AU,63,,CLERMONT-FERRAND,63000,308183,4577762,D,SH,25,,BRUNSB�TTEL,25541,913595,5389699,4000,0,30,MG,N,N,0
F,CE,37,,TOURS,37000,68971,4739038,F,PC,86,,MIGNALOUX-BEAUVOIR,86550,41553,4654119,5000,0,130,MG,N,N,0
PL,4,4,43,CIESZYN,43-419,1865642,4977199,I,8,CAM,80,NAPOLI,80100,1424429,4085262,24000,0,136,MG,N,N,0
PL,8,8,80,GDA?SK,80-844,1865314,5435339,PL,8,8,81,GDYNIA,81-330,1853207,5451470,7000,0,50,MG,Y,Y,0
F,AU,43,,LANGEAC,43300,349754,4510042,F,NO,14,,CAEN,14000,-36108,4918436,5000,0,40,MG,N,N,0
D,PS,66,,BOUS,66359,680247,4927841,A,1,NO,32,WIESELBURG,3250,1514005,4813151,24000,0,136,MG,N,N,0
